REAGENT or RESOURCE,SOURCE,IDENTIFIER,Experiment
Sodium Chloride,Fisher,S630-10,
Tween-20,Santa Cruz,SC-29913,Western Blot
Pierce RIPA Buffer,Thermo Scientific,89901,Western Blot
SDS,Fisher,BP166-500,Western Blot
Glycine,Sigma,G-7126,Western Blot
Tris Base,Fisher,BP154-1,Western Blot
BCA Protein Assay Kit,Pierce,23225,Western Blot
Precision Plus Protein Dual Color Standards,Bio-Rad,1610374,Western Blot
Restore Western Blot Stripping Buffer,Thermo,21059,Western Blot
Pierce Protease and Phosphatase Inhibitor Mini Tablets EDTA-Free,Thermo,A32961,Western Blot
Methanol (100%),Ficher,A412-4,Western Blot
RNaseZap,Sigma,R2020-250ML,qPCR
PowerUp SYBR Green Master Mix,Applied Biosystems,A25742,qPCR
SuperScript IV VILO Master Mix,Invitrogen,11766050,qPCR
2-Mercaptoethanol,Bio-Rad,1610710,Western Blot
4x Laemmli Sample Buffer,Bio-Rad,1610747,Western Blot
TRIzol Reagent,Ambion,15596018,Western Blot
10x Tris/Glycine/SDS Buffer,Bio-Rad,1610732,Western Blot
Spectra Multicolor High Range Protein Ladder,Thermo Scientific,26625,Western Blot
Reagent Alcohol 95% Histoprep,Fisher,HC13001GL,Histology
Alcohol 100%,Sigma-Aldrich,65347-M,Histology
Xylenes (Histological),Fisher Chemical,X3P-1GAL,Histology
TRIzol™ Reagent,Invitrogen,15-596-018,qPCR
Paraplast X-tra,Leica,39603002,Histology
EM-400 Embedding Medium Paraffin,Leica,3801320,Histology
Tissue Path™ Disposable Embedding Rings,Fisher,22038198,Histology
